fname,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
00044347.wav,0.7018269,0.0058646537,0.014002143,0.006227574,0.0063071023,0.0011460242,0.005758004,0.012433981,0.0026169375,0.0050981864,0.0015130905,0.00048544974,0.0016310471,0.0007025762,0.0016213133,0.0054795174,0.016771832,0.0006800632,0.0072156833,0.0021486492,0.051138688,0.0013265852,0.0036047485,0.0014744434,0.003322465,0.0011642103,0.07633314,0.0019985072,0.0004632185,0.0017098108,0.011461729,0.0015026762,0.0063605807,0.000887141,0.013638403,0.00074727065,0.00047060687,0.0006268171,0.01148894,0.00502064,0.005728701
002d256b.wav,0.0080780415,0.0022087586,0.0018410044,0.0039131674,0.0041309004,0.0959678,0.015436982,0.0005526533,0.029074878,0.018852778,0.0040744697,0.11387663,0.001938684,0.0012318954,0.004247784,0.0004733452,0.00021513794,0.09823551,0.0028987932,0.0016387033,0.0050080903,0.0030492847,0.0023781555,0.005205981,0.003687313,0.00023114886,0.009164091,0.3649391,0.0183658,0.013236892,0.06744577,0.0011472721,0.049370676,0.00052603416,0.0056609716,0.00022767734,0.016688742,0.0004437398,0.011625778,0.0036312563,0.009078248
003b91e8.wav,2.4562278e-05,0.05620368,0.02871182,4.9701816e-06,0.5706138,2.8057771e-05,1.942197e-05,0.17274596,0.00021839465,0.00013166106,5.8196547e-06,2.0565245e-05,0.00022451067,4.02975e-06,2.4232031e-05,0.005377088,0.043592714,7.3574105e-05,0.00074593263,5.379953e-05,0.0007030828,3.133413e-05,1.9953839e-05,0.00011804227,1.3529605e-05,0.0008300968,0.022263853,0.00049430726,0.00026739386,0.02198289,1.4280221e-05,7.1391673e-06,4.104986e-05,1.3562755e-05,0.00047335573,0.0007042199,6.319239e-05,1.9529623e-05,0.07197492,0.001131662,7.976448e-06
004ad66f.wav,0.0003617346,0.008975269,0.2651701,4.509172e-05,0.00083734735,2.3139498e-06,6.9247076e-06,0.71896374,2.0953726e-07,1.3997442e-06,5.2858926e-05,2.0111624e-07,1.2250148e-05,3.0917195e-07,1.3956606e-05,0.00077116955,0.0034102688,3.5888954e-06,2.2861837e-05,1.4294598e-05,1.878683e-05,6.043978e-05,1.9699332e-06,1.4218744e-05,5.7336246e-07,5.536209e-05,9.378324e-05,5.960472e-06,2.470725e-06,8.776484e-05,6.721624e-06,2.1792634e-06,7.6346296e-05,3.9339902e-05,2.7588581e-05,1.613095e-05,1.2907745e-06,6.765407e-06,2.7968172e-05,0.00076590275,2.2569882e-05
0063ab88.wav,0.00011981782,9.050156e-05,0.00036274755,1.2547719e-05,0.002943914,5.0765662e-05,0.0031580033,0.00012804328,0.969396,0.0005294486,1.1738772e-05,0.0003792077,0.00036895208,0.0004218038,0.0037667113,0.00022647034,2.3343131e-05,0.00016954048,0.006743801,4.0417137e-05,1.3820366e-05,0.0012178496,2.173909e-05,0.000760688,0.0009791129,9.253608e-06,4.068378e-05,0.00020262216,9.302783e-05,0.00049128465,0.0002048406,6.3014522e-06,1.683491e-05,1.8260977e-06,0.0044942102,1.3540305e-05,0.00022403496,0.00044929562,0.0008678407,0.000421337,0.00052605086
0075d39c.wav,0.009718646,0.0010261454,0.0030505788,0.00084133487,0.00459692,0.0008104364,0.0009228424,0.0011339135,0.07832366,0.44802737,0.0004765432,0.0008631716,0.009762247,0.0021499393,0.01291289,0.0007229708,0.005345076,0.0009494354,0.031323876,0.0011129874,0.049485072,0.024845602,0.001043807,0.055266313,0.18683119,0.0009964422,0.0017983892,0.000306429,0.000505191,0.0014190832,0.04438289,0.0005978134,0.0012342513,0.0006836071,0.00754902,0.00039254664,0.0006998304,0.0015228417,0.00037156747,0.0033336678,0.002663522
00780200.wav,0.007327318,0.0034709263,0.0010680071,0.0008028278,0.0036280134,0.0050104083,0.79569876,0.0011500905,0.0024817574,0.0001727448,0.02813009,0.00037011172,0.0004093389,0.0012168142,0.008054103,0.0005799274,0.00023514942,0.002352765,0.0056409794,0.0005738799,3.100196e-05,0.0033972575,0.00084616704,0.0004601303,0.00018404095,2.268881e-05,0.020607002,0.049740385,0.0005702452,0.007572334,0.006792213,0.00086688576,0.00050033553,0.00011674004,0.009312225,0.00037110967,0.0012825807,0.0012741248,0.016144147,0.0012477603,0.010286702
0079d310.wav,0.0027939398,0.0004043251,0.0015459191,0.00055151945,0.022973651,0.0019849434,0.0016691493,0.0024278995,0.2887744,0.0051747593,6.664011e-05,0.0047579324,0.00065141695,0.0013121653,0.010985921,0.0010695837,0.00038861216,0.00065512414,0.47546262,0.0005458678,0.0012619337,0.0030887527,0.00030853564,0.0037653008,0.117417015,0.00015650177,9.998133e-05,0.005495251,0.0012603106,0.0011415144,0.0004602142,0.00036348714,0.0001803338,0.0006109956,0.002825118,0.00041214877,0.0017325488,0.00096518465,0.00084720814,0.0015424922,0.03186878
00ad7068.wav,0.0004680858,0.00059732475,0.000792212,0.0002628868,0.0019295021,0.0010426965,0.0020730053,0.0006084461,0.00042506206,3.3540993e-05,3.8216385e-05,1.6196025e-05,0.9543575,2.1884805e-06,0.00028900182,0.00027239564,0.0015352657,0.024100877,0.0012397523,0.00081886887,0.00012176374,0.00049836334,4.1457868e-05,0.00011281255,0.00019805093,1.9359419e-07,6.275552e-05,5.4943182e-05,0.0012677307,0.00019615654,9.38452e-05,0.00047125545,0.0010715558,0.00026349822,0.00069807866,4.19414e-05,0.00030959156,0.00024008405,0.0015343896,0.0016883414,0.00013010652
00c5808a.wav,3.4831573e-05,0.0005800954,0.0013676146,6.42504e-05,0.0019135793,0.00019945545,0.0002450906,0.00079263933,0.0069534318,0.023129601,4.1165058e-05,0.48348528,4.7694826e-05,0.41341713,0.0038253067,4.4824887e-05,0.0004223352,1.6498145e-05,0.00019868693,4.9670318e-05,6.922166e-05,0.0003383323,0.0025579687,0.0007391791,0.006801901,0.000741193,4.9077502e-05,6.9441645e-05,0.0011313421,0.00025919854,0.0007399028,4.9862436e-05,7.0278285e-05,5.27539e-05,0.0003152807,1.4586747e-05,0.04773656,0.00024691477,0.00057113724,0.00059120316,2.549358e-05
